Playlist name,Title,URL,Duration (minutes),Views,Number of likes,Number of dislikes,Number of comments
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 15 | Փոփոխականի փոխարինում և մասերով ինտեգրում | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=5Ju2ajUhWTA,71,327,3,,3.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 16 | Քառակուսելի պատկեր։ Քառակուսելիության հայտանիշներ | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=Z4m1S-_VBMI,71,259,1,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 17 | Մակերեսի արտահայտումը բևեռային կոորդինատներով | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=AWJCTvmS4Sw,60,226,4,,2.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 18 | Խորանարդելի մարմին։ Խորանարդելիության հայտանիշներ | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=pVxM-YCiM10,63,99,1,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 19 | Ծավալի արտահատումն ինտեգրալով։ Ուղղելի կորեր | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=l8lEcM3jIN4,63,221,4,,1.0
Մաթեմատիկական անալիզ 2 (տվյալագետների համար),Դաս 20 | Կորի երկարության հաշվումը | Մաթեմատիկական անալիզ 2 (ԿՎՏԳ),https://www.youtube.com/watch?v=a1mxxH_9dAU,70,277,2,,1.0
Մաթեմատիկական անալիզ 4,"Դաս 1 | Վերջավոր վարիացիա։ BV[a, b] դասի կառուցվածքը | Մաթեմատիկական անալիզ 4",https://www.youtube.com/watch?v=EoBlM2XuVG4,67,638,9,,7.0
Մաթեմատիկական անալիզ 4,Դաս 2 | Վերջավոր վարիացիայի ֆունկցիայի հիմնական հատկություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=uFg-L9-WTxI,64,255,4,,2.0
Մաթեմատիկական անալիզ 4,Դաս 3 | Ստիլտեսի ինտեգրալի հատկություններ և գոյություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=HX0n41UIehI,68,195,4,,1.0
Մաթեմատիկական անալիզ 4,Դաս 4 | Ընդհանուր հավասարաչափ զուգամիտություն | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=rRJYD0xDXGY,66,155,3,,3.0
Մաթեմատիկական անալիզ 4,Դաս 5 | Պարամետրից կախված ինտեգրալ (ՊԿԻ) | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=A5vI9avWM38,41,191,3,,1.0
Մաթեմատիկական անալիզ 4,Դաս 6 | Պարամետրից կախված անիսկական ինտեգրալ (ՊԿԱԻ) | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=KrK9VeA0fiE,65,146,4,,1.0
Մաթեմատիկական անալիզ 4,Դաս 7 | ՊԿԱԻ-ի հավասարաչափ զուգամիտության հայտանիշներ | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=14zXBRg8EAc,65,115,2,,2.0
Մաթեմատիկական անալիզ 4,Դաս 8 | ՊԿԱԻ-ի անընդհատությունը և սահմանային անցում | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=Q2fVNnXy9mY,67,112,3,,3.0
Մաթեմատիկական անալիզ 4,Դաս 9 | ՊԿԱԻ-ի ածանցումը։ Դիրիխլեի ինտեգրալը | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=EjaAfde_jYU,57,153,4,,2.0
Մաթեմատիկական անալիզ 4,Դաս 10 | ՊԿԱԻ-ի ինտեգրումը։ Էյլերի բետա ֆունկցիա | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=B3aaHnOP5Ng,65,80,2,,1.0
Մաթեմատիկական անալիզ 4,Դաս 11 | Էյլերի գամմա ֆունկցիա | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=YJ_ZHnqN-x4,67,115,2,,3.0
Մաթեմատիկական անալիզ 4,Դաս 12 | Կորի պարամետրացում։ 1-ին սեռի կորագիծ ինտեգրալ | Մաթեմատիկական անալիզ 4,https://www.youtube.com/watch?v=tQnCmeev-2Y,51,226,6,,2.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 1 | Հաջորդականության սահմանը R^m տարածությունում | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=Y22tmTLMtoM,70,906,7,,5.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 2 | Զուգամիտությունը R^m-ում։ Ֆունկցիայի սահման | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=0wn8nKGemEo,65,431,4,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 3 | Կոշիի սկզբունքը R^m-ում։ Հաջորդական սահմաններ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=qHVChSUlwSM,78,466,5,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 5 | Կոմպակտ բազմություն R^m-ում։ Բորելի լեմման | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=LT1Og_DiDpY,66,359,4,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 6 | Անընդհատությունը R^m-ում։ Վեկտորարժեք ֆունկցիա | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=Ns7EUdsWTpA,74,308,3,,2.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),"Դաս 7 | Բոլցանո-Կոշիի, Վայերշտրասի, Կանտորի թեորեմները R^m-ում | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ)",https://www.youtube.com/watch?v=drJBoP-WoBE,75,463,8,,2.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 8 | Ֆունկցիայի մասնակի ածանցյալ։ Լրիվ աճի բանաձևը | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=ZbFpr2_yW-o,70,486,9,,4.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 9 | Դիֆերենցելի ֆունկցիա և դիֆերենցիալ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=eW8R3t6NSkQ,71,450,6,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 10 | Դիֆերենցիալի երկրաչափական իմաստը։ Շղթայի կանոն | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=XKrbBB5gwkk,73,317,3,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 11 | Ուղղությամբ ածանցյալ և գրադիենտ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=elbJlqPrqbY,69,420,6,,1.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 12 | Բարձր կարգի ածանցյալ։ Խառն ածանցյալների թեորեմը | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=ZuK6nSzWSoI,73,327,8,,2.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 13 | Շատ փոփոխականի ֆունկցիայի էքստրեմումներ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=kVZFl2X0bVE,82,464,6,,1.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),"Դաս 14 | Էքստրեմումների օրինակներ, բավարար պայման | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ)",https://www.youtube.com/watch?v=ua3-s8GNkk8,74,249,4,,2.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 15 | Կրկնակի ինտեգրալ։ Ինտեգրելիության պայմաններ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=a_DKZeNVaC0,71,453,4,,6.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 16 | Զրո չափի և զրո ծավալի բազմություններ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=xB283QhKg2Y,75,229,3,,4.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 17 | Լեբեգի թեորեմը | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=ChmN3qZWzRA,70,331,3,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 18 | Բազմակի ինտեգրալի հատկություններ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=ONyTkl-_Z5s,74,213,2,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 19 | Ֆուբինիի թեորեմը։ Ըստ Ժորդանի չափելի բազմություն | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=aYDd28JTYc0,68,247,4,,1.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 20 | Ըստ Ժորդանի չափելի բազմությամբ ինտեգրալ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=RdCou2V8zmw,71,246,2,,2.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 21 | Կրկնակի և եռակի ինտեգրալների հաշվումը | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=Zs0OlyD3ZxA,70,214,3,,1.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 22 | Կորագիծ ինտեգրալներ | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=rS8jqxkEfDc,71,300,3,,3.0
Մաթեմատիկական անալիզ 3 (տվյալագետների համար),Դաս 23 | Երկրորդ տիպի կորագիծ ինտեգրալի հաշվումը | Մաթեմատիկական անալիզ 3 (ԿՎՏԳ),https://www.youtube.com/watch?v=PTVO763DUd4,44,243,5,,1.0
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 1 | Գրինի բանաձևը | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=--uF_V9h16s,72,390,3,,1.0
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 2 | Կորագիծ ինտեգրալի անկախությունը ճանապարհից | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=o7-iSSTfxU8,71,180,1,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 3 | Թվային շարքի գումարը և զուգամիտությունը | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=aNJUrY9ylxU,73,316,8,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 4 | Դրական շարքեր։ Բաղդատման հայտանիշներ | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=kYQlkcaPhy0,72,235,7,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 5 | Կոշիի և Դալամբերի հայտանիշները | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=PdfharOkbr0,73,380,7,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 6 | Կոշիի ինտեգրալային հայտանիշ։ Նշանափոխ շարք | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=i8HThZl5slk,71,266,4,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 7 | Աստիճանային շարքի զուգամիտությունը | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=2ULf-I-1IHU,74,224,3,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 8 | Թեյլորի շարք | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=JUrvfn0eV-A,68,223,3,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 9 | Անվերջ արտադրյալ։ Պարզագույն հատկություններ | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=maBgaxTqVKo,72,187,2,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 10 | Ֆունկցիոնալ շարքեր և հաջորդականություններ | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=LxRMQf0jkEE,76,208,2,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 11 | Ֆունկցիոնալ շարքի գումարի հատկությունները | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=rfNl1Ak3VNU,71,163,1,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 12 | Ֆունկցիոնալ շարքի ինտեգրում և ածանցում | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=P9HwUHIFCEA,74,192,2,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 13 | Աստիճանային շարքի ինտեգրում և ածանցում | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=VPQIZqKIyPk,66,154,4,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 14 | Անվերջ սահմաններով անիսկական ինտեգրալ | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=1dgX09N2ZSc,74,177,3,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 15 | Անսահմանափակ ֆունկցիայի անիսկական ինտեգրալ | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=PA4PqctqpH4,74,152,3,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 16 | Էյլերի բետա և գամմա ինտեգրալներ | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=sR8ZU95WiNs,70,175,2,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 17 | Եռանկյունաչափական շարքեր։ Ֆուրիեի շարք | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=i7Dqfb_fGNo,77,188,4,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 18 | Դիրիխլեի ինտեգրալ։ Ռիմանի լեմմա | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=9Uk4SYrPgOA,75,207,4,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 19 | Ֆուրիեի շարքի զուգամիտության հայտանիշներ | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=uhb-j7HCnzc,70,221,5,,
Մաթեմատիկական անալիզ 4 (տվյալագետների համար),Դաս 20 | Ֆեյերի թեորեմը։ Բեսելի անհավասարություն | Մաթեմատիկական անալիզ 4 (ԿՎՏԳ),https://www.youtube.com/watch?v=5xVlp_WVwg8,68,173,3,,
